,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,lon,lat,경도,위도
24,A,골목상권,3110021,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,126.99727149747922,37.58353955150116,126.99727149747922,37.58353955150116
25,A,골목상권,3110022,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,126.99910555256606,37.587053452651496,126.99910555256606,37.587053452651496
26,A,골목상권,3110023,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,127.00157360371887,37.578935494743384,127.00157360371887,37.578935494743384
27,A,골목상권,3110024,혜회동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850,127.00136998074275,37.587287706215974,127.00136998074275,37.587287706215974
28,A,골목상권,3110025,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,127.00418850120057,37.57486293640551,127.00418850120057,37.57486293640551
29,A,골목상권,3110026,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,127.00539963254758,37.57295277820339,127.00539963254758,37.57295277820339
30,A,골목상권,3110027,혜화역 1번,200507,453618,11110,종로구,11110640,이화동,117673,127.00573993541379,37.58211587382123,127.00573993541379,37.58211587382123
31,A,골목상권,3110028,이화달팽이길,200575,452995,11110,종로구,11110640,이화동,159124,127.0065092999959,37.57650264132745,127.0065092999959,37.57650264132745
32,A,골목상권,3110029,동대문역 1번,200934,452953,11110,종로구,11110680,창신2동,153230,127.01057331374025,37.57612392961357,127.01057331374025,37.57612392961357
33,A,골목상권,3110030,동대문역 3번,201063,452656,11110,종로구,11110670,창신1동,9161,127.01203322302788,37.57344783562387,127.01203322302788,37.57344783562387
