,학교명,위도,경도,주변_상권_코드_명,주변_상권_코드,주변_상권_엑스좌표_값,주변_상권_와이좌표_값,주변_상권_거리
83,화곡고등학교,37.54793611,126.8315357,송화벽화시장(송화골목시장),3130214,185468,449994,387.86416008248733
84,서울장평초등학교,37.57399502,127.073891,장안동사거리,3120067,206315,452490,312.5005559383897
85,태랑중학교,37.62698409,127.0913718,화랑대철도공원,3110442,207943,458309,317.5342543244611
86,서울정곡초등학교,37.57695491,126.8189328,정곡초등학교,3110642,183978,453168,110.87342207661194
87,서울안천초등학교,37.45874564,126.88839,금천철쭉어린이공원(금하마을),3110726,190327,439326,637.9774154953259
88,서울대진초등학교,37.49701211,127.0780425,대청초등학교,3110997,207481,443569,838.9448573922166
89,서울오륜초등학교,37.51242411,127.1345763,방이역 1번,3111032,211513,445488,557.7424102579415
90,서울개명초등학교,37.48303904,126.8509791,개봉3동주민센터,3110697,187085,442783,305.1411974855848
91,서울신강초등학교,37.52584419,126.8422639,경창시장,3130204,186037,447238,147.54135253538365
92,서울가산초등학교,37.47816515,126.8963297,G타워,3110722,190905,442315,241.09430326039774
93,광영고등학교,37.5371981,126.8232759,서울금융고등학교,3110592,184589,448509,249.92431861673765
94,광영여자고등학교,37.5371981,126.8232464,서울금융고등학교,3110592,184589,448509,252.1026837199171
95,장승중학교,37.50314858,126.940834,장승배기역,3120154,194741,444997,144.41124283126112
96,은성중학교,37.48837857,127.0352324,은광여고,3110960,203027,443113,135.22891035689923
97,서울오금초등학교,37.50886634,127.1323312,방이역 1번,3111032,211513,445488,187.25263085959168
98,숭의여자고등학교,37.50736414,126.9292433,대방역 3번,3110824,193544,445834,547.971310945279
99,신목중학교,37.53702399,126.8730725,목동문화체육센터,3110624,188603,449088,500.2044275160211
100,단국대학교사범대학부속중학교,37.49561749,127.0577682,한티역,3120212,204740,444220,419.59550692882334
101,서울대곡초등학교,37.49471064,127.0650265,은마종합상점가,3130309,205628,444032,166.5474060294905
102,영동고등학교,37.52138901,127.0437393,언북초등학교,3110976,204115,446924,252.4915277854955
103,재현고등학교,37.66129064,127.0807998,상계제일중학교,3110436,206697,462140,509.0076340121614
104,서울신길초등학교,37.51087166,126.9267292,대방역 3번,3110824,193544,445834,122.73931950996993
105,수도전기공업고등학교,37.48493754,127.0644787,개포고등학교,3110994,205433,442662,320.0640802001645
106,서울미래초등학교,37.50510665,126.8880137,한국SGI본부,3110718,190345,444894,307.09017816757773
107,서울월촌초등학교,37.54069543,126.876258,목동문화체육센터,3110624,188603,449088,464.885696977227
108,서울은정초등학교,37.51112797,126.8670434,갈산공원,3110623,188487,445288,519.3237266993574
109,방이중학교,37.51501058,127.1132445,몽촌토성역,3120233,210030,446282,107.44078378183606
110,서울로봇고등학교,37.48073174,127.0845761,대청초등학교,3110997,207481,443569,1200.0405584282446
111,서울영도초등학교,37.53596257,126.871927,목사랑시장(목4동시장),3130209,188196,448723,532.0347256260036
112,중원중학교,37.64423868,127.0680295,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),3130156,205794,460391,243.89411561859808
113,신관중학교,37.48020125,126.9344522,서원동주민센터(신관중학교),3110876,194029,442218,195.68646825754723
114,서울가동초등학교,37.49741227,127.1300159,오금역 4번,3111029,211264,444277,238.87296076661082
115,서울대학교사범대학부설여자중학교,37.5775997,127.0042955,이화달팽이길,3110028,200575,452995,230.36371471828056
116,서울신방학초등학교,37.66668425,127.0289181,샘말어린이공원,3110391,202929,463310,485.6631808248629
117,서울신상계초등학교,37.66751782,127.0758263,당고개역 2번,3110437,206846,463073,158.25032651912608
118,서울우장초등학교,37.54963819,126.8459842,강서새말어린이공원,3110661,186545,450313,327.46227586825665
119,서울교육대학교부설초등학교,37.49074049,127.0154245,교대역(법원.검찰청),3120173,201307,443806,334.35891147848884
120,구일고등학교,37.49350529,126.8746185,구로119안전센터,3110709,189526,443837,615.6224137273506
121,서서울생활과학고등학교,37.50382919,126.8282007,오류고등학교,3110683,184751,444388,558.0374334932379
122,서울잠전초등학교,37.50733791,127.0838499,삼전역 1번,3111004,207529,445253,134.25296673299837
123,서울연촌초등학교,37.63441465,127.0725113,노원 을지대학교병원,3110427,206268,459433,132.57180227804827
124,휘경공업고등학교,37.58521558,127.0697283,장안교,3110231,206478,453482,578.3951103636033
125,서울개웅초등학교,37.48857132,126.8499823,개웅초등학교(개웅중학교),3110698,187021,443233,288.71191985790534
126,영락의료과학고등학교,37.47658804,126.9454164,청룡동주민센터,3110888,195012,442181,317.1618706242812
127,휘문중학교,37.50528945,127.0619841,휘문고교사거리,3120223,205806,444988,341.9319901668413
128,역삼중학교,37.49593388,127.0488444,도곡시장,3130307,204573,444284,342.4498963877338
129,동광초등학교,37.45199688,126.9158199,동일여자고등학교,3110755,192287,439057,291.661806058713
130,서울염경초등학교,37.55500067,126.8712046,등촌역 1번,3110677,188138,450469,503.5928537727319
131,서울대학교사범대학부설초등학교,37.5775997,127.0042955,이화달팽이길,3110028,200575,452995,230.36371471828056
132,이화여자대학교사범대학부속초등학교,37.56115022,126.9427504,이대 앞 스타트업 상점가,3130178,195118,451097,263.2393395851704
133,서울개봉초등학교,37.48952491,126.857976,개봉초등학교,3110702,187521,443242,135.97596231222542
134,항동중학교,37.48285456,126.82019,온수역 1번,3110681,184516,443619,1086.8026961560079
135,서울염리초등학교,37.54271029,126.945999,염리초등학교,3110581,195296,449319,100.14419158212966
136,덕산중학교,37.6022574,126.9046771,덕산중학교,3110445,191769,455726,228.30659081946553
137,서울중계초등학교,37.65784243,127.0733117,중계초등학교,3110430,206575,461975,117.39590344393109
138,연신중학교,37.62353926,126.9242879,연신내역 2번,3110479,193382,458068,164.01115938674607
139,서울윤중초등학교,37.51964164,126.9225908,여의도역(여의도),3120149,193481,447024,467.6569243467208
140,신원중학교,37.5370925,126.8248419,서울금융고등학교,3110592,184589,448509,144.32725691392847
141,서울방현초등학교,37.47650298,126.9900734,방현초등학교(방배119안전센터),3110913,198951,441910,171.5082322545026
142,서울중현초등학교,37.63251462,127.0659521,노원 을지대학교병원,3110427,206268,459433,497.41055857221295
143,서울금천초등학교,37.45481034,126.9128749,삼성산자연공원(서울금천초등학교),3110754,191973,439318,362.855267770449
144,가락중학교,37.50248553,127.1187527,송파역 2번,3111016,210199,444586,362.07017444768024
145,서울여자상업고등학교,37.47290457,126.9509181,관악소방서(문영여고),3110893,195802,441665,220.27136769512975
146,서울강서초등학교,37.52241272,126.8409879,신월4동주민센터,3110604,185801,447110,177.86914329243345
147,서울용동초등학교,37.64108381,127.0690818,등나무근린공원,3120083,205863,460036,267.28446646710273
148,창일중학교,37.64898751,127.0469136,창동역,3120079,204208,461419,384.00065525991255
149,서울중평초등학교,37.63753357,127.0639651,등나무근린공원,3120083,205863,460036,342.92390223413304
150,전일중학교,37.58250018,127.0583795,전농중학교,3110216,205156,453263,399.2407289109317
151,서울자운초등학교,37.65801094,127.0466811,창동중학교,3110412,204240,462445,420.2224813274351
152,서울신당초등학교,37.56362621,127.0236731,신당역 3번,3110056,201855,451480,251.71379865665622
153,서울면중초등학교,37.58244179,127.0965509,면목동우체국,3110266,208094,453739,441.55455968259423
154,월곡중학교,37.60698163,127.0482588,월곡역 4번,3110324,204165,456212,192.64532727328347
155,대진디자인고등학교,37.49042815,127.0959793,수서역,3120224,209112,443153,689.320850419862
156,동덕여자중학교,37.47587863,126.991995,방현초등학교(방배119안전센터),3110913,198951,441910,350.8846768385911
157,서울아주초등학교,37.50582689,127.075764,삼전역 4번,3111003,207293,444982,618.323134775837
158,송곡고등학교,37.60584544,127.1064637,망우본동주민센터,3110278,209142,455775,547.1098945101073
159,강현중학교,37.50311599,126.9307563,장승배기역 4번,3110826,194212,444888,336.5592043916963
160,서울대학교사범대학부설고등학교,37.59472384,127.0381204,KB국민은행 종암동지점,3110320,203263,455041,106.07215156542405
161,서울광진초등학교,37.54761146,127.0913325,광진초등학교,3110172,207912,449734,169.34618312619642
162,장평중학교,37.56685961,127.0704776,장안현대홈타운1차아파트,3110230,206324,452165,257.16827818522
163,금성초등학교,37.61531513,127.0898585,화랑대역 7번,3110250,207225,457577,758.4110704866315
164,서울삼광초등학교,37.54775231,126.9765943,삼광초등학교,3110077,197919,449884,80.70918169873056
165,한천중학교,37.63131395,127.0724683,노원 을지대학교병원,3110427,206268,459433,374.9176539694533
166,서울보라매초등학교,37.49585189,126.9161445,신길6동주민센터,3110812,192681,444264,237.40014383539764
167,고척고등학교,37.50804938,126.8498691,세곡초등학교,3110694,186504,445043,427.30279144475884
168,동작중학교,37.49546195,126.9778016,경문고등학교(동작동성당),3110851,198202,443594,438.89568673304865
169,경동고등학교,37.58660133,127.0160317,경동고등학교,3110297,201254,454294,240.70750657471382
170,압구정중학교,37.53024224,127.0330027,성수대교남단,3120195,203046,447576,312.92176699491125
171,광신중학교,37.4644762,126.9259406,신림주공2단지(광신고등학교),3110870,193495,440449,124.1995827609654
172,숙명여자중학교,37.49147536,127.0526126,한티역,3120212,204740,444220,666.4268647920417
173,서울봉천초등학교,37.4832696,126.9581884,서울대입구역 8번,3110897,196233,442468,192.843442152601
174,서울남천초등학교,37.50144683,127.1507951,남천초등학교,3111044,213170,444431,294.24053414078617
175,서울동일초등학교,37.66481537,127.05417,마들역,3120080,205070,462922,315.8453560217411
176,동덕여자고등학교,37.47583666,126.991995,방현초등학교(방배119안전센터),3110913,198951,441910,352.0152455760906
177,잠실중학교,37.51781757,127.0986662,잠실역,3120227,208953,446061,483.6610972977977
178,서울옥수초등학교,37.54552939,127.0218696,금호사거리,3110107,202203,449734,322.8389120161574
179,서울거여초등학교,37.50516942,127.1409011,거여초등학교,3111040,212430,444869,220.02774285634288
180,청원중학교,37.66525155,127.0625329,마들역,3120080,205070,462922,453.535172508127
181,경희여자고등학교,37.59394914,127.054891,청량초등학교,3110213,205004,454831,186.52898015293107
182,개포고등학교,37.48495285,127.0594065,개포고등학교,3110994,205433,442662,249.38381898062738
183,금옥중학교,37.51096532,126.8439717,지향초등학교,3110603,185868,445909,380.51531285959203
184,화원중학교,37.53621409,126.8424164,화원중학교,3110651,185784,448561,289.48891570633447
185,문일고등학교,37.44891526,126.8987207,KT금천빌딩(금천구시설관리공단),3110742,191404,438635,418.9159842253369
186,경원중학교,37.5115816,127.0090183,잠원역,3110927,200988,445925,233.87711878195674
187,개봉중학교,37.50352932,126.8423998,개봉중학교,3110691,186250,444792,218.27838374056515
188,동명여자고등학교,37.61441879,126.9228204,연신내역 4번,3110472,193000,457351,235.64143187314443
189,경복비즈니스고등학교,37.55802536,126.8526703,가양역 10번,3110667,187021,451363,410.40019007708463
190,서울온곡초등학교,37.66754054,127.0659829,상계5동주민센터,3110428,206276,462728,588.1247523600955
191,영파여자중학교,37.53273562,127.1197395,천호역 6번,3111051,210995,448365,467.1339816036347
192,서울신용산초등학교,37.52062959,126.9753663,이촌종합시장,3130058,197769,446792,53.39211534246888
193,해성여자고등학교,37.5818726,127.0569769,전곡마을마당공원,3110211,204828,453365,306.04521152114523
194,언북중학교,37.51942855,127.0331263,언북중학교,3110957,202797,446468,233.47859826192976
195,서울도봉초등학교,37.67996175,127.0382887,도봉산입구,3110397,203332,464982,505.51677956334123
196,서울장수초등학교,37.5129972,126.8451597,지향초등학교,3110603,185868,445909,445.24141136992455
197,문창중학교,37.49580287,126.9224055,보라매역 2번,3110821,193222,444165,149.5087395743365
198,고척중학교,37.49974083,126.8613425,고척중학교,3110704,187951,444448,214.99860975617432
199,해성국제컨벤션고등학교,37.5818726,127.0569769,전곡마을마당공원,3110211,204828,453365,306.04521152114523
200,성수중학교,37.54734181,127.0382534,서울숲카페거리,3110120,203629,449746,248.91087157677092
201,송파중학교,37.49592462,127.1299138,오금역 4번,3111029,211264,444277,312.28047415490704
202,석관고등학교,37.60958929,127.0667176,석관고등학교,3110336,205718,456720,180.1754196374512
203,홍은중학교,37.59189151,126.9357524,홍은중학교,3110515,194180,454791,169.3594714503708
204,국사봉중학교,37.49353263,126.9440557,상도약수골목형상점가,3130264,195047,444141,353.2457833873977
205,서울과학고등학교,37.59154805,126.9984363,성북초등학교앞,3110283,199941,454796,153.15786223625966
206,석촌중학교,37.50145499,127.1211174,석촌중학교(방이육교),3111022,211018,444834,348.07974709066485
207,봉원중학교,37.48410274,126.9588909,관악중부시장,3130294,196125,442778,242.0567424953141
208,서울송정초등학교,37.56223089,126.8102813,송정역,3120116,183179,451334,110.87810827501306
209,서울정화고등학교,37.58604864,127.0410703,홍파초등학교,3110194,203549,453894,179.35531251761486
210,청원초등학교,37.66525155,127.0625329,마들역,3120080,205070,462922,453.535172508127
211,하계중학교,37.64136991,127.0723336,등나무근린공원,3120083,205863,460036,545.3599016719652
212,서울신서초등학교,37.52055887,126.8623309,신서초등학교,3110615,187732,446840,107.81595322081172
213,인헌고등학교,37.47231073,126.9704851,인헌고등학교(인헌중학교),3110901,197183,441216,298.1579740964201
214,서울영풍초등학교,37.49622,127.1430148,거여역 1번(거여공원),3111042,212696,444196,113.07072104233379
215,서울광희초등학교,37.56729928,127.0156879,신당역,3120039,201389,451766,207.6516978590993
216,진명여자고등학교,37.52404701,126.8658566,목동역 5번,3110621,188298,447305,198.88593114455588
217,서울신천초등학교,37.5140111,127.0950476,잠실역,3120227,208953,446061,549.9487259504912
218,서울신계초등학교,37.62979163,127.052769,월계역 3번,3110417,205127,459237,571.2691846545071
219,서울문정초등학교,37.48907284,127.1290135,문정초등학교,3111027,211186,443249,229.2965645793911
220,강남중학교,37.50276263,126.9233466,성남고등학교,3110820,193252,444990,179.0083949765076
221,서울구로남초등학교,37.48420602,126.8902182,남구로역 2번,3110717,190184,442766,106.8414553467474
222,용화여자고등학교,37.65913138,127.0582807,노원역 9번,3110422,205580,462171,437.47354986083167
223,동도중학교,37.54670177,126.9469053,대흥역 2번,3110578,195146,449859,235.00350501533606
